order_id,order_ts,product_id,quantity,unit_price,order_value,pincode,delivery_hours,on_time,is_returned,order_status,order_date,order_hour,order_dow
ORD100000,2025-10-03 11:17:39,P1002,1,1529.0,1529.0,400018,2.5,1,0,delivered,2025-10-03,11,Friday
ORD100001,2025-09-20 15:03:47,P1020,1,359.0,359.0,400017,0.2,1,0,delivered,2025-09-20,15,Saturday
ORD100002,2025-09-23 16:32:56,P1038,1,539.0,539.0,400002,2.4,1,0,delivered,2025-09-23,16,Tuesday
ORD100003,2025-10-01 04:58:54,P1007,1,2099.0,2099.0,400004,1.7,1,0,delivered,2025-10-01,4,Wednesday
ORD100004,2025-09-02 07:25:05,P1012,1,1599.0,1599.0,400001,0.9,1,0,delivered,2025-09-02,7,Tuesday
ORD100005,2025-09-29 17:36:18,P1021,1,1624.0,1624.0,400007,57.1,0,0,delivered,2025-09-29,17,Monday
ORD100006,2025-10-03 04:27:02,P1001,3,3149.0,9447.0,400018,3.3,1,1,returned,2025-10-03,4,Friday
ORD100007,2025-09-05 01:48:21,P1034,1,599.0,599.0,400017,48.2,0,0,delivered,2025-09-05,1,Friday
ORD100008,2025-09-07 14:06:04,P1033,1,1649.0,1649.0,400013,1.3,1,0,delivered,2025-09-07,14,Sunday
ORD100009,2025-09-09 19:43:46,P1025,1,764.0,764.0,400005,29.8,0,0,delivered,2025-09-09,19,Tuesday
ORD100010,2025-09-13 15:06:14,P1011,1,764.0,764.0,400020,4.6,1,0,delivered,2025-09-13,15,Saturday
ORD100011,2025-09-16 21:23:36,P1017,1,1374.0,1374.0,400001,3.1,1,0,delivered,2025-09-16,21,Tuesday
ORD100012,2025-09-23 01:45:47,P1033,1,1649.0,1649.0,400002,2.9,1,0,delivered,2025-09-23,1,Tuesday
ORD100013,2025-09-17 09:12:59,P1012,1,1599.0,1599.0,400001,3.4,1,0,delivered,2025-09-17,9,Wednesday
ORD100014,2025-09-14 12:11:32,P1001,1,3149.0,3149.0,400019,6.4,1,0,delivered,2025-09-14,12,Sunday
ORD100015,2025-09-13 05:55:03,P1008,1,539.0,539.0,400009,0.2,1,0,delivered,2025-09-13,5,Saturday
ORD100016,2025-09-23 19:56:49,P1008,1,539.0,539.0,400017,0.5,1,0,delivered,2025-09-23,19,Tuesday
ORD100017,2025-09-27 04:28:07,P1034,1,599.0,599.0,400003,26.0,0,0,delivered,2025-09-27,4,Saturday
ORD100018,2025-09-17 23:44:00,P1034,1,599.0,599.0,400007,37.9,0,0,delivered,2025-09-17,23,Wednesday
ORD100019,2025-10-02 13:28:21,P1035,1,959.0,959.0,400015,4.9,1,0,delivered,2025-10-02,13,Thursday
ORD100020,2025-10-02 15:20:57,P1007,1,2099.0,2099.0,400017,1.9,1,1,returned,2025-10-02,15,Thursday
ORD100021,2025-09-02 12:09:09,P1019,1,899.0,899.0,400003,41.2,0,0,delivered,2025-09-02,12,Tuesday
